Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,55500.0,56000.0,55000.0,55200.0,49099.43359375,12993228
2020-01-03,56000.0,56600.0,54900.0,55500.0,49366.265625,15422255
2020-01-06,54900.0,55600.0,54600.0,55500.0,49366.265625,10278951
2020-01-07,55700.0,56400.0,55600.0,55800.0,49633.1171875,10009778
2020-01-08,56200.0,57400.0,55900.0,56800.0,50522.58984375,23501171
2020-01-09,58400.0,58600.0,57400.0,58600.0,52123.66796875,24102579
2020-01-10,58800.0,59700.0,58300.0,59500.0,52924.203125,16000170
2020-01-13,59600.0,60000.0,59100.0,60000.0,53368.9375,11359139
2020-01-14,60400.0,61000.0,59900.0,60000.0,53368.9375,16906295
2020-01-15,59500.0,59600.0,58900.0,59000.0,52479.45703125,14300928
2020-01-16,59100.0,60700.0,59000.0,60700.0,53991.57421875,14381774
2020-01-17,61900.0,62000.0,61000.0,61300.0,54525.265625,16025661
2020-01-20,62000.0,62800.0,61700.0,62400.0,55503.69921875,12528855
2020-01-21,62000.0,62400.0,61200.0,61400.0,54614.20703125,11142693
2020-01-22,60500.0,62600.0,60400.0,62300.0,55414.74609375,15339565
2020-01-23,61800.0,61800.0,60700.0,60800.0,54080.52734375,14916555
2020-01-28,59400.0,59400.0,58300.0,58800.0,52301.56640625,23664541
2020-01-29,59100.0,59700.0,58800.0,59100.0,52568.40625,16446102
2020-01-30,58800.0,58800.0,56800.0,57200.0,50878.39453125,20821939
2020-01-31,57800.0,58400.0,56400.0,56400.0,50166.8046875,19749457
2020-02-03,55500.0,57400.0,55200.0,57200.0,50878.39453125,23995260
2020-02-04,57100.0,59000.0,56800.0,58900.0,52390.51171875,21800192
2020-02-05,60000.0,60200.0,58900.0,59500.0,52924.203125,19278165
2020-02-06,60100.0,61100.0,59700.0,61100.0,54347.3671875,14727159
2020-02-07,61100.0,61200.0,59700.0,60400.0,53724.734375,16402493
2020-02-10,59200.0,59800.0,59100.0,59700.0,53102.09765625,13107121
2020-02-11,59800.0,60700.0,59700.0,59900.0,53279.99609375,11071231
2020-02-12,60300.0,60700.0,59700.0,60500.0,53813.6796875,12904207
2020-02-13,61200.0,61600.0,60500.0,60700.0,53991.57421875,18449775
2020-02-14,60900.0,61900.0,60200.0,61800.0,54970.0078125,13276067
2020-02-17,61600.0,62000.0,61200.0,61500.0,54703.16796875,8740596
